[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_ID,Sample_Name,GenomeFolder,Index,bait_name,default_library_type,default_tag_sequence,default_tagtwo_sequence,email_addresses,email_addresses_of_followers,email_addresses_of_managers,email_addresses_of_owners,gbs_plex_name,is_control,is_pool,lane_id,lane_priority,library_name,organism,organism_taxon_id,project_cost_code,project_id,project_name,purpose,qc_state,request_id,required_insert_size_range,sample_accession_number,sample_cohort,sample_common_name,sample_consent_withdrawn,sample_description,sample_donor_id,sample_id,sample_name,sample_public_name,sample_reference_genome,sample_supplier_name,spiked_phix_tag_index,study_accession_number,study_alignments_in_bam,study_contains_nonconsented_human,study_contains_nonconsented_xahuman,study_description,study_id,study_name,study_reference_genome,study_separate_y_chromosome_data,study_title,tag_index,
64422,ERS005360,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005360,,Streptococcus pneumoniae,,,,8727,042915PMEN1,42915,,,,,,0,0,,,,,,,1,
64422,ERS005368,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005368,,Streptococcus pneumoniae,,,,8737,042935PMEN1,42935,,,,,,0,0,,,,,,,2,
64422,ERS005371,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005371,,Streptococcus pneumoniae,,,,8736,042934PMEN1,42934,,,,,,0,0,,,,,,,3,
64422,ERS005367,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005367,,Streptococcus pneumoniae,,,,8735,042932PMEN1,42932,,,,,,0,0,,,,,,,4,
64422,ERS005366,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005366,,Streptococcus pneumoniae,,,,8734,042927PMEN1,42927,,,,,,0,0,,,,,,,5,
64422,ERS005369,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005369,,Streptococcus pneumoniae,,,,8733,042926PMEN1,42926,,,,,,0,0,,,,,,,6,
64422,ERS005364,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005364,,Streptococcus pneumoniae,,,,8732,042922PMEN1,42922,,,,,,0,0,,,,,,,7,
64422,ERS005363,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005363,,Streptococcus pneumoniae,,,,8730,063721PMEN1,63721,,,,,,0,0,,,,,,,8,
64422,ERS005361,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005361,,Streptococcus pneumoniae,,,,8729,052424PMEN1,52424,,,,,,0,0,,,,,,,9,
64422,ERS005365,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005365,,Streptococcus pneumoniae,,,,8728,042917PMEN1,42917,,,,,,0,0,,,,,,,10,
64422,ERS005375,,,,,,,,,,,,0,0,,,,Streptococcus pneumoniae PMEN1,1313,,,,standard,,,,ERS005375,,Streptococcus pneumoniae,,,,8738,042937PMEN1,42937,,,,,,0,0,,,,,,,11,
64422,ERS003701,,,,,,,,,,,,0,0,,,,Mycobacterium tuberculosis,1773,,,,standard,,,,ERS003701,,Mycobacterium tuberculosis,,,,24,TB 2-0648 ,,,,,,,0,0,,,,,,,12,

